model,val_acc,method,seed,distance,ece,mce,ace,piece,Confbin,Knnbin,Proximity_bin,Conf_normalize
beit_large_patch16_384,0.8838,pts_knndist,2020,IVFPQ,0.027698351,0.007343654,0.0274175,0.030896304,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist,2020,L2,0.027709021,0.007361322,0.027419071,0.032085679,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2020,cosine,0.010875829,0.005874411,0.010058341,0.016885024,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2020,IVFFlat,0.01035721,0.005876927,0.009252024,0.015692522,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2020,IVFPQ,0.011730568,0.005759339,0.011073111,0.018665123,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2020,L2,0.010530878,0.005863684,0.009121041,0.015517261,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2020,cosine,0.026836231,0.006093115,0.028515441,0.034118141,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2020,IVFFlat,0.026836231,0.006093115,0.028515441,0.034099524,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2020,IVFPQ,0.026836231,0.006093115,0.028515441,0.030334849,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2020,L2,0.026836231,0.006093115,0.028515441,0.034015668,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2020,cosine,0.011910105,0.006399196,0.010532173,0.017088683,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2020,IVFFlat,0.011542533,0.0065441,0.009904856,0.016862154,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2020,IVFPQ,0.012775696,0.006852418,0.010769532,0.020013355,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2020,L2,0.011271899,0.006518643,0.009691517,0.016499739,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2021,cosine,0.038780698,0.017446992,0.038629183,0.043120981,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2021,IVFFlat,0.038780698,0.017446992,0.038629183,0.043107039,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2021,IVFPQ,0.038780698,0.017446992,0.038629183,0.044302473,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2021,L2,0.038780698,0.017446992,0.038629183,0.043128787,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2021,cosine,0.007465997,0.003116828,0.005214692,0.013973497,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2021,IVFFlat,0.006698388,0.002927928,0.005808185,0.01366334,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2021,IVFPQ,0.006488538,0.002867117,0.006086699,0.014610327,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2021,L2,0.006900209,0.002926243,0.005610433,0.013967725,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2021,cosine,0.019340899,0.012832907,0.020295496,0.027997139,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2021,IVFFlat,0.019340899,0.012832907,0.020295496,0.02809803,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2021,IVFPQ,0.019340899,0.012832907,0.020295496,0.026522431,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2021,L2,0.019340899,0.012832907,0.020295496,0.02806435,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2021,cosine,0.009042368,0.004312456,0.008048652,0.015604504,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2021,IVFFlat,0.008728522,0.004074997,0.006710396,0.015461059,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2021,IVFPQ,0.008794249,0.004155806,0.009097423,0.016397933,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2021,L2,0.008708863,0.004087443,0.00692076,0.015510457,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2021,cosine,0.057801782,0.017639392,0.060036316,0.072321036,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2021,IVFFlat,0.057801782,0.017639392,0.060036316,0.07246386,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2021,IVFPQ,0.057801782,0.017639392,0.060036316,0.065265677,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2021,L2,0.057801782,0.017639392,0.060036316,0.072417331,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2021,cosine,0.052352263,0.039359293,0.052942077,0.059637086,15,10,5,FALSE
